timestamp,avg_ear,avg_mar,avg_tilt,avg_redness,perclos,blink_count,blink_rate_per_min,yawn_count,yawn_rate_per_min,nod_count,nod_rate_per_min,fatigue_score,state
2026-03-21 14:51:47,0.2651,0.0274,9.9,0.0,12.0,3,35.92,0,0.0,0,0.0,21.01,Alert
2026-03-21 14:51:52,0.2478,0.0422,8.86,0.0,42.18,3,35.98,0,0.0,0,0.0,41.16,Mild Fatigue
2026-03-21 14:51:57,0.2764,0.0514,8.32,0.0,8.77,2,23.87,0,0.0,0,0.0,13.44,Alert
2026-03-21 14:52:02,0.3058,0.0115,4.63,0.0,0.0,0,0.0,0,0.0,0,0.0,2.03,Alert
2026-03-21 15:26:41,0.2637,0.0383,2.16,0.0,24.32,5,59.73,0,0.0,0,0.0,26.64,Alert
2026-03-21 15:26:46,0.241,0.1029,3.83,0.0,35.1,5,59.9,0,0.0,0,0.0,36.35,Mild Fatigue
2026-03-21 15:26:51,0.2521,0.1728,6.91,0.0039,44.0,5,59.71,0,0.0,0,0.0,40.86,Mild Fatigue
2026-03-21 15:26:56,0.2878,0.0233,1.32,0.0061,7.3,2,23.96,0,0.0,1,11.98,18.51,Alert
2026-03-21 15:27:01,0.2556,0.1019,4.06,0.0,18.54,4,47.92,0,0.0,0,0.0,24.32,Alert
2026-03-21 15:27:20,0.2773,0.1246,0.97,0.0,3.2,1,12.0,0,0.0,0,0.0,7.58,Alert
2026-03-21 15:27:25,0.2741,0.1635,3.44,0.0,16.56,3,35.94,0,0.0,0,0.0,20.49,Alert
2026-03-21 15:27:30,0.2985,0.0439,-0.21,0.0,6.67,2,23.96,0,0.0,1,11.98,16.98,Alert
2026-03-21 15:27:35,0.2573,0.142,0.63,0.0,24.5,5,59.74,0,0.0,0,0.0,27.66,Alert
2026-03-21 15:27:40,0.1877,0.7746,0.6,0.0,72.67,2,23.95,0,0.0,2,23.95,65.3,Fatigued
2026-03-21 15:27:45,0.2983,0.2711,5.11,0.0018,22.0,3,35.97,1,11.99,1,11.99,40.35,Mild Fatigue
2026-03-21 15:27:50,0.3025,0.0344,8.33,0.0,10.6,5,59.71,0,0.0,1,11.94,22.2,Alert
2026-03-21 15:27:55,0.3221,0.0242,-4.56,0.0002,4.67,2,23.95,0,0.0,0,0.0,5.91,Alert
2026-03-21 15:28:00,0.3731,0.0419,-6.85,0.0662,0.89,0,0.0,0,0.0,1,11.95,11.05,Alert
2026-03-21 15:28:05,0.3575,0.0344,0.15,0.2175,0.0,0,0.0,0,0.0,0,0.0,8.0,Alert
